timestamp,open,high,low,close,volume
2023-09-29 19:59:00,171.2300,171.3300,171.2200,171.3300,3114
2023-09-29 19:58:00,171.2400,171.2400,532
2023-09-29 19:57:00,171.3600,171.3200,171.3400,439
2023-09-29 19:56:00,171.3400,171.3600,171.3200,171.3600,107
2023-09-29 19:55:00,171.3300,171.4800,171.3000,171.3500,76
2023-09-29 19:54:00,171.3300,171.3600,171.3000,171.3500,810
2023-09-29 19:53:00,171.3000,171.3600,171.3000,171.3300,209
2023-09-29 19:52:00,171.2600,171.3500,171.2600
2023-09-29 19:51:00,171.2100,171.3600,171.2100,171.2800,118
2023-09-29 19:50:00,171.2100,171.3600,171.2100,171.2850,58
2023-09-29 19:49:00,171.4500,171.4500,171.2100,171.3250,3361
2023-09-29 19:48:00,171.2100,171.3300,171.2000,171.3300,950
2023-09-29 19:47:00,171.2100,171.2100,171.2000,171.2050,834
2023-09-29 19:46:00,171.2010,171.2100,171.2000,171.2100,1945
2023-09-29 19:45:00,171.2000,171.2050,171.2000,171.2000,868
2023-09-29 19:44:00,171.2100,171.2100,171.2000,171.2050,106
2023-09-29 19:43:00,171.2050,171.2100,171.2000,171.2000,50
2023-09-29 19:42:00,171.2100,171.2100,171.2000,171.2050,715
2023-09-29 19:41:00,171.2000,171.2100,171.2000,171.2050,72
2023-09-29 19:40:00,171.2100,171.2100,171.2010,171.2010,190
2023-09-29 19:39:00,171.2100,171.2100,171.2000,171.2000,482
2023-09-29 19:38:00,171.2000,171.2100,171.2000,171.2100,727
2023-09-29 19:37:00,171.2050,171.2100,171.2000,171.2050,24
2023-09-29 19:36:00,171.2050,171.2100,171.2000,171.2100,220
2023-09-29 19:35:00,171.2000,171.2100,171.2000,171.2050,20
2023-09-29 19:34:00,171.2100,171.2100,171.2000,171.2000,45
2023-09-29 19:33:00,171.2090,171.2100,171.2000,171.2100,479
2023-09-29 19:32:00,171.2050,171.2100,171.2000,171.2000,617
2023-09-29 19:31:00,171.2100,171.2100,171.2000,171.2050,2150
2023-09-29 19:30:00,171.3400,171.3400,171.2000,171.2000,2695
2023-09-29 19:29:00,171.3300,171.3400,171.2900,171.3300,429
2023-09-29 19:28:00,171.2500,171.3300,171.2300,171.2800,162
2023-09-29 19:27:00,171.2300,171.2800,171.2300,171.2500,131
2023-09-29 19:26:00,171.2850,171.3100,171.2300,171.2300,6
2023-09-29 19:25:00,171.3100,171.3400,171.2300,171.3400,70
2023-09-29 19:24:00,171.2300,171.3400,171.2300,171.2850,22
2023-09-29 19:23:00,171.2850,171.3300,171.2800,171.3200,17
2023-09-29 19:22:00,171.2500,171.3500,171.2300,171.2300,452
2023-09-29 19:21:00,171.3000,171.3500,171.3000,171.3500,434
2023-09-29 19:20:00,171.3000,171.3500,171.3000,171.3500,262
2023-09-29 19:19:00,171.3250,171.3500,171.3000,171.3100,214
